ID,Label,fold
5e22a522-bb99-11e8-b2b9-ac1f6b6435d0,0,0
5f79a114-bb99-11e8-b2b9-ac1f6b6435d0,14,0
5c801c04-bb99-11e8-b2b9-ac1f6b6435d0,14,0
5e9afd56-bb99-11e8-b2b9-ac1f6b6435d0,0,0
5f1af6b4-bb99-11e8-b2b9-ac1f6b6435d0,3,0
5fb9edb4-bb99-11e8-b2b9-ac1f6b6435d0,9,0
60bfc742-bb99-11e8-b2b9-ac1f6b6435d0,5,0
5f005cfa-bb99-11e8-b2b9-ac1f6b6435d0,12,0
5beb608c-bb99-11e8-b2b9-ac1f6b6435d0,6,0
636e164c-bb99-11e8-b2b9-ac1f6b6435d0,3,0
5b99d3e8-bb99-11e8-b2b9-ac1f6b6435d0,13,0
6074a6a4-bb99-11e8-b2b9-ac1f6b6435d0,0,0
64ab5506-bb99-11e8-b2b9-ac1f6b6435d0,2,0
643f73a4-bb99-11e8-b2b9-ac1f6b6435d0,14,0
66552404-bb99-11e8-b2b9-ac1f6b6435d0,13,0
670096d6-bb99-11e8-b2b9-ac1f6b6435d0,8,0
68ad8444-bb99-11e8-b2b9-ac1f6b6435d0,3,0
6a70893e-bb99-11e8-b2b9-ac1f6b6435d0,3,0
6d856b08-bb99-11e8-b2b9-ac1f6b6435d0,4,0
6afe63b2-bb99-11e8-b2b9-ac1f6b6435d0,8,0
7072246e-bb99-11e8-b2b9-ac1f6b6435d0,13,0
6f2690b8-bb99-11e8-b2b9-ac1f6b6435d0,10,0
739453ba-bb99-11e8-b2b9-ac1f6b6435d0,6,0
6f303dfc-bb99-11e8-b2b9-ac1f6b6435d0,5,0
6fa7b67a-bb99-11e8-b2b9-ac1f6b6435d0,16,0
6f38b45a-bb99-11e8-b2b9-ac1f6b6435d0,5,0
71c6077c-bb99-11e8-b2b9-ac1f6b6435d0,7,0
7318293e-bb99-11e8-b2b9-ac1f6b6435d0,12,0
753ea04e-bb99-11e8-b2b9-ac1f6b6435d0,12,0
74f318f4-bb99-11e8-b2b9-ac1f6b6435d0,0,0
781a9322-bb99-11e8-b2b9-ac1f6b6435d0,9,0
7945e594-bb99-11e8-b2b9-ac1f6b6435d0,16,0
79fbbd42-bb99-11e8-b2b9-ac1f6b6435d0,14,0
7ac2e9ee-bb99-11e8-b2b9-ac1f6b6435d0,3,0
7ac4f306-bb99-11e8-b2b9-ac1f6b6435d0,0,0
7c261068-bb99-11e8-b2b9-ac1f6b6435d0,10,0
7f634304-bb99-11e8-b2b9-ac1f6b6435d0,4,0
7e093ad6-bb99-11e8-b2b9-ac1f6b6435d0,16,0
7d24862a-bb99-11e8-b2b9-ac1f6b6435d0,8,0
7d37f5a2-bb99-11e8-b2b9-ac1f6b6435d0,3,0
7f836864-bb99-11e8-b2b9-ac1f6b6435d0,10,0
82eda686-bb99-11e8-b2b9-ac1f6b6435d0,13,0
82afcef6-bb99-11e8-b2b9-ac1f6b6435d0,0,0
83079b9a-bb99-11e8-b2b9-ac1f6b6435d0,0,0
83a65b72-bb99-11e8-b2b9-ac1f6b6435d0,0,0
8662db24-bb99-11e8-b2b9-ac1f6b6435d0,0,0
8793a49c-bb99-11e8-b2b9-ac1f6b6435d0,0,0
857642c8-bb99-11e8-b2b9-ac1f6b6435d0,0,0
88ba0fb4-bb99-11e8-b2b9-ac1f6b6435d0,14,0
86f02178-bb99-11e8-b2b9-ac1f6b6435d0,3,0
88991c5a-bb99-11e8-b2b9-ac1f6b6435d0,16,0
8888916e-bb99-11e8-b2b9-ac1f6b6435d0,0,0
89fe0326-bb99-11e8-b2b9-ac1f6b6435d0,4,0
89d1164a-bb99-11e8-b2b9-ac1f6b6435d0,5,0
8cdd3b0c-bb99-11e8-b2b9-ac1f6b6435d0,16,0
8e7c2d9c-bb99-11e8-b2b9-ac1f6b6435d0,0,0
8fe7c7fe-bb99-11e8-b2b9-ac1f6b6435d0,7,0
9187255a-bb99-11e8-b2b9-ac1f6b6435d0,4,0
955e5d1a-bb99-11e8-b2b9-ac1f6b6435d0,10,0
976b0392-bb99-11e8-b2b9-ac1f6b6435d0,14,0
96a8e73a-bb99-11e8-b2b9-ac1f6b6435d0,7,0
98c8e1b4-bb99-11e8-b2b9-ac1f6b6435d0,9,0
994b4a50-bb99-11e8-b2b9-ac1f6b6435d0,0,0
9acc1788-bb99-11e8-b2b9-ac1f6b6435d0,13,0
9df04740-bb99-11e8-b2b9-ac1f6b6435d0,13,0
9df2132c-bb99-11e8-b2b9-ac1f6b6435d0,0,0
a1ae8720-bb99-11e8-b2b9-ac1f6b6435d0,4,0
a1d36702-bb99-11e8-b2b9-ac1f6b6435d0,2,0
a38d2f6a-bb99-11e8-b2b9-ac1f6b6435d0,7,0
a1ee43b0-bb99-11e8-b2b9-ac1f6b6435d0,8,0
a2c63252-bb99-11e8-b2b9-ac1f6b6435d0,5,0
a34d8680-bb99-11e8-b2b9-ac1f6b6435d0,18,0
a234c006-bb99-11e8-b2b9-ac1f6b6435d0,0,0
a4bd0f36-bb99-11e8-b2b9-ac1f6b6435d0,0,0
a62e1342-bb99-11e8-b2b9-ac1f6b6435d0,0,0
a7faf0b4-bb99-11e8-b2b9-ac1f6b6435d0,17,0
a78db2d8-bb99-11e8-b2b9-ac1f6b6435d0,5,0
a914fc06-bb99-11e8-b2b9-ac1f6b6435d0,9,0
a8197264-bb99-11e8-b2b9-ac1f6b6435d0,10,0
abf39cfc-bb99-11e8-b2b9-ac1f6b6435d0,16,0
ae4f9190-bb99-11e8-b2b9-ac1f6b6435d0,14,0
b07daa4c-bb99-11e8-b2b9-ac1f6b6435d0,5,0
ae78eab8-bb99-11e8-b2b9-ac1f6b6435d0,0,0
b1396638-bb99-11e8-b2b9-ac1f6b6435d0,10,0
b2ba3fdc-bb99-11e8-b2b9-ac1f6b6435d0,14,0
b15261ec-bb99-11e8-b2b9-ac1f6b6435d0,4,0
b20395ac-bb99-11e8-b2b9-ac1f6b6435d0,4,0
b9b8341a-bb99-11e8-b2b9-ac1f6b6435d0,7,0
b5089522-bb99-11e8-b2b9-ac1f6b6435d0,0,0
b64bd070-bb99-11e8-b2b9-ac1f6b6435d0,14,0
b914d2f2-bb99-11e8-b2b9-ac1f6b6435d0,3,0
